ASIN,Category,Date,Price,Rank,Rating,Reviews,Title,T_FINAL
B0825SNHP1,Toys & Games,29-10-20,17.49,#8,4.9 out of 5 stars,"9,541","Mattel Star Wars The Child Plush Toy, 11-Inch Small Yoda-Like Soft Figure from The…","Mattel Star Wars The Child Plush Toy, 11-Inch Small Yoda-Like Soft Figure from The…"
B06XCQSPSW,Fashion,30-10-20,7.99,#39,4.4 out of 5 stars,"8,441",Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets,Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets
B06XCQSPSW,Fashion,01-11-20,7.99,#42,4.4 out of 5 stars,"8,654",,Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets
B06XCQSPSW,Fashion,31-10-20,7.99,#44,4.4 out of 5 stars,"8,541",,Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets
B06XCQSPSW,Fashion,28-10-20,7.99,#29,4.4 out of 5 stars,"8,158",,Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets
B06XCQSPSW,Fashion,29-10-20,7.99,#39,4.4 out of 5 stars,"8,222",Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets,Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets
B06XCQSPSW,Fashion,27-10-20,7.99,#30,4.4 out of 5 stars,"8,103",Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets,Hanes Men's EcoSmart Open Leg Fleece Pant with Pockets
B07CPCFVB9,Movies & TV,01-11-20,6.99,#14,4.8 out of 5 stars,"19,328","NIGHTMARE BEFORE CHRISTMAS, THE (TIM…","NIGHTMARE BEFORE CHRISTMAS, THE (TIM…"
B07CPCFVB9,Movies & TV,30-10-20,6.99,#13,4.8 out of 5 stars,"18,956","NIGHTMARE BEFORE CHRISTMAS, THE (TIM…","NIGHTMARE BEFORE CHRISTMAS, THE (TIM…"
B07CPCFVB9,Movies & TV,31-10-20,6.99,#18,4.8 out of 5 stars,"19,089",,"NIGHTMARE BEFORE CHRISTMAS, THE (TIM…"
B07CPCFVB9,Movies & TV,28-10-20,6.5,#28,4.8 out of 5 stars,"18,404",,"NIGHTMARE BEFORE CHRISTMAS, THE (TIM…"
B07CPCFVB9,Movies & TV,26-10-20,6.5,#34,4.8 out of 5 stars,"18,167",,"NIGHTMARE BEFORE CHRISTMAS, THE (TIM…"
B07CPCFVB9,Movies & TV,29-10-20,6.5,#37,4.8 out of 5 stars,"18,557","NIGHTMARE BEFORE CHRISTMAS, THE (TIM…","NIGHTMARE BEFORE CHRISTMAS, THE (TIM…"
B082PP9XW1,Movies & TV,01-11-20,14.9,#23,4.7 out of 5 stars,"50,476",FROZEN 2,FROZEN 2
B082PP9XW1,Movies & TV,30-10-20,14.9,#36,4.7 out of 5 stars,"49,613",FROZEN 2,FROZEN 2
B082PP9XW1,Movies & TV,31-10-20,14.9,#21,4.7 out of 5 stars,"49,995",,FROZEN 2
B082PP9XW1,Movies & TV,28-10-20,14.9,#22,4.7 out of 5 stars,"48,415",,FROZEN 2
B082PP9XW1,Movies & TV,26-10-20,14.9,#31,4.7 out of 5 stars,"47,959",,FROZEN 2
B082PP9XW1,Movies & TV,29-10-20,14.9,#26,4.7 out of 5 stars,"48,658",FROZEN 2,FROZEN 2
B07JYJM6JT,Fashion,30-10-20,6.99,#57,4.3 out of 5 stars,"8,211",TRENDOUX Winter Gloves for Men and Women - Upgraded Touch Screen Anti-Slip Silicone Gel…,TRENDOUX Winter Gloves for Men and Women - Upgraded Touch Screen Anti-Slip Silicone Gel…
B07JYJM6JT,Fashion,01-11-20,6.99,#33,4.3 out of 5 stars,"8,339",,TRENDOUX Winter Gloves for Men and Women - Upgraded Touch Screen Anti-Slip Silicone Gel…
B07JYJM6JT,Fashion,31-10-20,6.99,#35,4.3 out of 5 stars,"8,257",,TRENDOUX Winter Gloves for Men and Women - Upgraded Touch Screen Anti-Slip Silicone Gel…
B07JYJM6JT,Fashion,28-10-20,6.99,#56,4.3 out of 5 stars,"8,025",,TRENDOUX Winter Gloves for Men and Women - Upgraded Touch Screen Anti-Slip Silicone Gel…
B07JYJM6JT,Fashion,27-10-20,6.99,#62,4.3 out of 5 stars,"7,989",,TRENDOUX Winter Gloves for Men and Women - Upgraded Touch Screen Anti-Slip Silicone Gel…
B07JYJM6JT,Fashion,29-10-20,6.99,#64,4.3 out of 5 stars,"8,059",TRENDOUX Winter Gloves for Men and Women - Upgraded Touch Screen Anti-Slip Silicone Gel…,TRENDOUX Winter Gloves for Men and Women - Upgraded Touch Screen Anti-Slip Silicone Gel…
B013TMN4GW,Amazon Devices,01-11-20,9.99,#34,4.6 out of 5 stars,"33,926","""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV","""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV"
B013TMN4GW,Amazon Devices,31-10-20,9.99,#36,4.6 out of 5 stars,"33,750","""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV","""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV"
B013TMN4GW,Amazon Devices,30-10-20,9.99,#38,4.6 out of 5 stars,"33,618","""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV","""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV"
B013TMN4GW,Amazon Devices,28-10-20,9.99,#25,4.6 out of 5 stars,"33,210",,"""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV"
B013TMN4GW,Amazon Devices,27-10-20,9.99,#26,4.6 out of 5 stars,"33,093",,"""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV"
B013TMN4GW,Amazon Devices,26-10-20,9.99,#26,4.6 out of 5 stars,"33,000",,"""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV"
B013TMN4GW,Amazon Devices,29-10-20,9.99,#32,4.6 out of 5 stars,"33,326","""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV","""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV"
B07SW89GC3,Computers/Accessories,30-10-20,26.97,#76,4.7 out of 5 stars,994,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…
B07SW89GC3,Computers/Accessories,01-11-20,26.97,#53,4.7 out of 5 stars,"1,031",,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…
B07SW89GC3,Computers/Accessories,31-10-20,26.97,#48,4.7 out of 5 stars,"1,010",,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…
B07SW89GC3,Computers/Accessories,28-10-20,26.97,#45,4.7 out of 5 stars,943,,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…
B07SW89GC3,Computers/Accessories,26-10-20,26.97,#42,4.7 out of 5 stars,917,,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…
B07SW89GC3,Computers/Accessories,29-10-20,26.97,#64,4.7 out of 5 stars,958,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…
B07SW89GC3,Computers/Accessories,27-10-20,26.97,#60,4.7 out of 5 stars,927,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…,PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models…
B01KJEOCDW,Toys & Games,01-11-20,11.99,#58,4.8 out of 5 stars,"9,761","LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…","LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…"
B01KJEOCDW,Toys & Games,30-10-20,11.99,#56,4.8 out of 5 stars,"9,627","LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…","LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…"
B01KJEOCDW,Toys & Games,31-10-20,11.99,#61,4.8 out of 5 stars,"9,680",,"LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…"
B01KJEOCDW,Toys & Games,28-10-20,11.99,#87,4.8 out of 5 stars,"9,464",,"LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…"
B01KJEOCDW,Toys & Games,29-10-20,11.99,#72,4.8 out of 5 stars,"9,506","LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…","LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl,…"
