ASIN,Category,Title,Rating,Avg_Reviews,Rating_Fill,Avg_Price
B07GNV288V,Movies & TV,Friday the 13th Collection [Blu-ray],4.6,408,129.99,129.99
B00DZP1BP0,Movies & TV,A Charlie Brown Thanksgiving 40th Anniversary…,4.8,1821,22.88,22.88
B085WS7H6K,Computers/Accessories,"Introducing Amazon eero 6 dual-band mesh Wi-Fi 6 router, with built-in Zigbee smart home hub (1 router + 1 extender)",5,3953,129,129
B001H0FVAG,Fashion,Levi's Men's 505 Regular Fit Jeans,4.5,32147,26.5,26.5
B005OCFHHK,Movies & TV,Harry Potter: Complete 8-Film Collection [Blu-ray],4.8,30262,49.5,49.5
B08FY8JB89,Computers/Accessories,Introducing eero Pro 6 mesh wifi system bundle with Fire TV Cube,5,4382,599,599
B0849J7W5X,Amazon Devices,"Ring Video Doorbell 3 – enhanced wifi, improved motion detection, easy installation",4.6,10977,165.7,165.7
B07KLCVW1Z,Movies & TV,Saw - 8-film Collection [Blu-ray],4.8,625,13.27,13.27
B01ARH416Y,Computers/Accessories,19.5V 3.33A AC Adapter Charger for HP 15-F009WM 15-F023WM 15-F039WM 15-F059WM…,4.7,2802,12.88,12.88
B07KRY43KN,Amazon Devices,"Echo Glow - Multicolor smart lamp for kids, a Certified for Humans Device – Requires…",4.6,9578,29.99,29.99
B08CWBFFC6,Movies & TV,Parasite (The Criterion Collection) [Blu-ray],4.6,9,27.98,27.98
B07P6MZPK3,Toys & Games,Mattel Games UNO,4.9,14512,9.99,9.99
B07W62FZC7,Computers/Accessories,CHNLML Cool Sticker 55-905pcs Random Music Film Vinyl Skateboard Guitar Travel Case Sticker…,4.5,1660,7.99,7.99
B08CT53KJ5,Fashion,ANRABESS Womens Turtleneck Long Batwing Sleeve Asymmetric Hem Casual Pullover Sweater…,4.3,2079,34.16,34.16
B00F0DD0I6,Computers/Accessories,NETGEAR Nighthawk Smart WiFi Router (R7000) - AC1900 Wireless Speed (up to 1900 Mbps) | Up…,4.3,56590,154.47,154.47
B08D51CLGX,Movies & TV,A Christmas Love Story,5,15,9.96,9.96
B010277HO2,Fashion,Hanes Men's Long Sleeve Beefy Henley Shirt,4.5,15529,9.95,9.95
B085VNCZHL,Computers/Accessories,Introducing Amazon eero Pro 6 tri-band mesh Wi-Fi 6 router with built-in Zigbee smart home hub,4.5,1830,229,229
B08B2M8LKG,Computers/Accessories,Amazon eero mesh WiFi system - 2 pack,4.4,3998,169,169
B0862269YP,Computers/Accessories,"Lenovo IdeaPad 3 14 Laptop, 14.0 FHD 1920 x 1080 Display, AMD Ryzen 5 3500U Processor,…",4.4,997,449.99,449.99
